               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11104,            0.016251,            0.075355,                   0,                   0,                   0,                   0,            0.095842,            0.013086,            0.081276,              0.0982,              0.0002,              0.0002
                   1,               0.106,            0.015925,              0.0742,                   0,                   0,                   0,                   0,            0.087562,             0.01414,             0.07902,            0.095499,          0.00049901,          0.00049901
                   2,             0.10458,            0.020742,            0.073463,                   0,                   0,                   0,                   0,            0.079819,            0.015248,             0.07555,            0.092797,          0.00079683,          0.00079683
                   3,            0.095438,            0.022904,            0.069414,          0.00089127,               0.025,          0.00047317,          9.4634e-05,             0.07658,            0.015915,            0.071276,            0.090093,           0.0010935,           0.0010935
                   4,            0.091007,            0.025204,            0.068854,           0.0021708,               0.075,           0.0012645,           0.0003299,            0.075819,            0.016052,            0.067003,            0.087389,           0.0013889,           0.0013889
                   5,            0.082175,            0.022693,            0.064417,           0.0035846,                0.15,            0.002281,          0.00074722,            0.070698,            0.016711,            0.064104,            0.084683,           0.0016832,           0.0016832
                   6,            0.082931,            0.029808,            0.062419,            0.011327,                0.55,            0.010607,           0.0020611,            0.067644,            0.017329,            0.060252,            0.081976,           0.0019762,           0.0019762
                   7,            0.076673,            0.027572,            0.059663,            0.018024,                0.85,            0.022912,           0.0061057,            0.062209,             0.01778,            0.056581,            0.079268,           0.0022681,           0.0022681
                   8,            0.076508,            0.028989,            0.055875,            0.019543,                   1,            0.070734,            0.020311,            0.060722,            0.017424,            0.050369,            0.076559,           0.0025588,           0.0025588
                   9,            0.074155,             0.02814,            0.052213,            0.015467,                   1,             0.15961,            0.053412,            0.058635,            0.016979,             0.04603,            0.073848,           0.0028483,           0.0028483
                  10,            0.072234,            0.026434,            0.048835,            0.012323,                   1,             0.17797,            0.044016,            0.064007,            0.015148,            0.041089,            0.071137,           0.0031366,           0.0031366
                  11,            0.076637,            0.023929,            0.046221,            0.071143,                0.95,               0.151,            0.050472,            0.060461,            0.014587,            0.039367,            0.068424,           0.0034238,           0.0034238
                  12,            0.068424,            0.027665,            0.042733,            0.046196,                0.25,              0.1012,            0.028733,            0.074604,             0.01239,            0.038615,             0.06571,           0.0037097,           0.0037097
                  13,             0.07491,            0.021985,            0.042443,            0.041432,               0.225,            0.092998,            0.027137,            0.074809,            0.012322,            0.038317,            0.062994,           0.0039945,           0.0039945
                  14,             0.07111,            0.022244,            0.040088,             0.46811,             0.45678,             0.42593,            0.084329,            0.073294,            0.011214,            0.037713,            0.060278,            0.004278,            0.004278
                  15,            0.077877,            0.019209,            0.038202,             0.42273,             0.59743,             0.47423,             0.20934,             0.07093,            0.011014,            0.036906,             0.05756,           0.0045604,           0.0045604
                  16,            0.069048,            0.019948,             0.03608,             0.45596,                0.45,             0.49415,             0.16805,            0.069868,            0.011925,            0.035609,            0.054842,           0.0048416,           0.0048416
                  17,            0.070305,            0.019023,            0.036122,             0.23217,               0.225,             0.32089,             0.14947,            0.069537,            0.011334,             0.03437,            0.052122,           0.0051216,           0.0051216
                  18,            0.070866,            0.019544,            0.034146,             0.10528,             0.70864,             0.12462,            0.055117,            0.081885,            0.011217,            0.034169,              0.0494,           0.0054004,           0.0054004
                  19,            0.078634,            0.015291,            0.034307,             0.26129,               0.775,             0.37682,             0.14954,            0.064544,             0.01178,            0.032493,            0.046678,            0.005678,            0.005678
                  20,            0.068843,            0.019686,             0.03377,             0.14153,                0.95,             0.17405,            0.059344,             0.07969,            0.010693,            0.031763,            0.043954,           0.0059545,           0.0059545
                  21,            0.076612,            0.017681,            0.033206,             0.21419,               0.525,             0.24032,            0.054346,            0.059363,            0.011968,            0.031582,             0.04123,           0.0062297,           0.0062297
                  22,            0.066313,            0.020317,            0.033586,             0.32288,             0.66949,             0.44861,             0.14955,            0.065924,            0.011086,            0.030852,            0.038504,           0.0065038,           0.0065038
                  23,            0.066429,            0.017325,            0.034023,             0.21982,               0.975,             0.25233,             0.13383,            0.069171,            0.010141,            0.029717,            0.035777,           0.0067767,           0.0067767
                  24,            0.067005,            0.017469,            0.033696,             0.30897,                0.75,              0.4517,              0.1407,            0.068004,            0.010665,            0.028991,            0.033048,           0.0070484,           0.0070484
                  25,            0.070559,            0.018545,            0.032582,             0.36209,             0.79713,              0.5167,             0.21068,            0.074655,           0.0099554,            0.028615,            0.030319,           0.0073188,           0.0073188
                  26,             0.07371,            0.016726,            0.032745,             0.14974,                0.65,             0.25538,            0.067886,            0.076645,           0.0099204,            0.028026,            0.027588,           0.0075882,           0.0075882
                  27,            0.074817,            0.017214,            0.032172,             0.35572,                0.95,             0.50557,             0.18826,             0.06633,            0.010184,            0.027696,            0.024856,           0.0078563,           0.0078563
                  28,            0.072794,            0.016708,            0.032347,             0.35572,                0.95,             0.50557,             0.18826,             0.06633,            0.010184,            0.027696,            0.022123,           0.0081232,           0.0081232
                  29,            0.078549,            0.015329,            0.032336,             0.33192,             0.77646,             0.47185,             0.27942,            0.080426,           0.0086544,            0.027534,            0.019389,            0.008389,            0.008389
                  30,             0.07648,            0.014065,            0.030778,             0.37441,               0.893,             0.51907,             0.18702,            0.070499,           0.0087419,            0.027289,            0.016654,           0.0086535,           0.0086535
                  31,            0.072434,            0.016128,            0.031644,            0.076988,                0.95,            0.095769,            0.034833,            0.078604,           0.0090554,            0.026799,            0.013917,           0.0089169,           0.0089169
                  32,            0.078651,            0.016872,            0.031196,            0.076988,                0.95,            0.095769,            0.034833,            0.078604,           0.0090554,            0.026799,            0.011179,           0.0091791,           0.0091791
                  33,            0.068216,            0.016316,            0.032219,             0.27579,                 0.8,             0.36842,             0.12858,            0.063013,           0.0097547,            0.027355,           0.0093466,           0.0093466,           0.0093466
                  34,            0.067832,            0.018471,            0.030978,              0.2286,                 0.6,             0.38678,             0.18044,             0.05278,            0.010273,            0.026723,           0.0093466,           0.0093466,           0.0093466
                  35,            0.072443,            0.015894,            0.030811,             0.36967,             0.94612,             0.55326,             0.20552,            0.062188,           0.0092621,             0.02649,           0.0093268,           0.0093268,           0.0093268
                  36,            0.065608,            0.018704,            0.031178,             0.36967,             0.94612,             0.55326,             0.20552,            0.062188,           0.0092621,             0.02649,            0.009307,            0.009307,            0.009307
                  37,            0.064768,            0.016241,            0.030272,              0.3855,             0.86646,             0.59318,             0.20551,            0.065566,           0.0089095,            0.025854,           0.0092872,           0.0092872,           0.0092872
                  38,            0.063369,            0.016549,            0.029234,             0.38207,               0.775,             0.43804,             0.11703,            0.067045,           0.0088127,            0.025071,           0.0092674,           0.0092674,           0.0092674
                  39,             0.06791,            0.018046,            0.028443,             0.50653,               0.475,              0.5876,             0.28818,            0.059176,           0.0091622,            0.023891,           0.0092476,           0.0092476,           0.0092476
                  40,              0.0606,            0.016442,            0.026479,             0.50653,               0.475,              0.5876,             0.28818,            0.059176,           0.0091622,            0.023891,           0.0092278,           0.0092278,           0.0092278
                  41,            0.053297,            0.017019,            0.026665,             0.49599,               0.825,             0.67419,              0.2825,            0.049598,           0.0095429,            0.022876,            0.009208,            0.009208,            0.009208
                  42,            0.059008,            0.016348,            0.026912,             0.42885,             0.91857,             0.65616,             0.19917,            0.067622,           0.0092669,            0.022505,           0.0091882,           0.0091882,           0.0091882
                  43,            0.070167,            0.014775,             0.02628,             0.39871,               0.825,             0.61816,             0.22053,            0.065128,             0.00934,            0.020006,           0.0091684,           0.0091684,           0.0091684
                  44,            0.059827,            0.013993,            0.023435,             0.39871,               0.825,             0.61816,             0.22053,            0.065128,             0.00934,            0.020006,           0.0091486,           0.0091486,           0.0091486
                  45,            0.055473,            0.016687,            0.023652,             0.61192,              0.9123,             0.92535,             0.54911,            0.058151,            0.009131,             0.01862,           0.0091288,           0.0091288,           0.0091288
                  46,            0.059516,              0.0154,            0.023298,             0.22702,             0.82765,             0.45772,             0.17695,            0.063367,           0.0088594,            0.017407,            0.009109,            0.009109,            0.009109
                  47,             0.06355,            0.014328,             0.02234,             0.60661,               0.875,             0.79389,             0.28988,            0.053383,           0.0092731,            0.015699,           0.0090892,           0.0090892,           0.0090892
                  48,             0.05929,            0.017413,            0.023994,             0.60661,               0.875,             0.79389,             0.28988,            0.053383,           0.0092731,            0.015699,           0.0090694,           0.0090694,           0.0090694
                  49,            0.051339,            0.016949,            0.021821,             0.72146,               0.975,             0.95176,             0.48377,            0.040985,           0.0096049,            0.014547,           0.0090496,           0.0090496,           0.0090496
